company,name,year,selling_price,km_driven,fuel,transmission,owner
Ford,Ford Figo Diesel LXI,2011,160000,120000,Diesel,Manual,First Owner
Maruti,Maruti Swift VXI Optional,2015,515000,36600,Petrol,Manual,First Owner
Maruti,Maruti Wagon R AMT,2015,390000,50000,Petrol,Automatic,Second Owner
Hyundai,Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Manual,Second Owner
Maruti,Maruti 800 Std,1999,40000,40000,Petrol,Manual,Second Owner
Maruti,Maruti Ritz VDi,2010,220000,120000,Diesel,Manual,First Owner
Hyundai,Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Manual,First Owner
Volkswagen,Volkswagen Ameo 1.0 MPI,2019,480000,13000,Petrol,Manual,First Owner
Hyundai,Hyundai Grand i10 Sportz,2014,400000,60000,Petrol,Manual,Second Owner
Maruti,Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Manual,First Owner
Hyundai,Hyundai Xcent 1.2 Kappa,2016,386000,44000,Petrol,Manual,Second Owner
Honda,Honda City 1.5 EXI,2005,100000,120000,Petrol,Manual,Second Owner
Toyota,Toyota Corolla Altis Diesel,2010,300000,60000,Diesel,Manual,First Owner
Daewoo,Daewoo Matiz SD,2000,100000,60000,Petrol,Manual,First Owner
Toyota,Toyota Fortuner 4x2 Manual,2014,1750000,30000,Diesel,Manual,Second Owner
Mahindra,Mahindra KUV 100 mFALCON,2016,450000,15000,Petrol,Manual,Second Owner
Tata,Tata Zest Quadrajet 1.3,2017,490000,90000,Diesel,Manual,First Owner
Honda,Honda City 1.5 S,2009,345000,47000,Petrol,Manual,Second Owner
Maruti,Maruti Zen LXI,2005,85000,90000,Petrol,Manual,First Owner
Maruti,Maruti Wagon R VXI,2010,215000,120600,Petrol,Manual,Second Owner
Hyundai,Hyundai Verna Transform SX,2010,320000,100000,Petrol,Manual,Third Owner
Maruti,Maruti Swift Dzire VXI,2016,459999,60000,Petrol,Manual,Second Owner
Hyundai,Hyundai Getz GLS,2005,65000,86000,Petrol,Manual,First Owner
Hyundai,Hyundai Elite i20 Sportz,2020,720000,5000,Petrol,Manual,First Owner
Maruti,Maruti Ciaz 1.3 Alpha,2017,800000,37000,Diesel,Manual,First Owner
Tata,Tata Tigor 1.2 Revotron,2019,520000,14000,Petrol,Manual,First Owner
Maruti,Maruti Ertiga VDI,2015,580000,70000,Diesel,Manual,First Owner
Toyota,Toyota Etios GD,2012,235000,120000,Diesel,Manual,First Owner
Honda,Honda City i VTEC,2015,600000,50000,Petrol,Manual,First Owner
Honda,Honda Brio S MT,2014,290000,60000,Petrol,Manual,Second Owner
Maruti,Maruti Wagon R LXI,2016,360000,50000,CNG,Manual,First Owner
Maruti,Maruti Swift Dzire VXI,2017,550000,50000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 Sportz 1.2,2013,375000,70000,Petrol,Manual,First Owner
Maruti,Maruti Omni E 8,2003,40000,90000,Petrol,Manual,Second Owner
Maruti,Maruti Wagon R AMT,2018,420000,35000,Petrol,Automatic,First Owner
Maruti,Maruti Swift Dzire VXI,2017,550000,20000,Petrol,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2018,270000,20000,Petrol,Manual,First Owner
Maruti,Maruti Swift Dzire AMT,2018,700000,7800,Petrol,Automatic,First Owner
Maruti,Maruti Swift VXI Optional,2017,500000,20000,Petrol,Manual,First Owner
Tata,Tata Hexa XE,2019,1250000,15000,Diesel,Manual,First Owner
Hyundai,Hyundai i20 Magna,2013,320000,31377,Petrol,Manual,Second Owner
Maruti,Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Manual,First Owner
Maruti,Maruti Wagon R VXI,2015,290000,60000,Petrol,Manual,First Owner
Toyota,Toyota Corolla Altis 1.8,2012,550000,100000,Petrol,Automatic,First Owner
Honda,Honda Brio S MT,2012,265000,60000,Petrol,Manual,First Owner
Maruti,Maruti Baleno Alpha Automatic,2018,830000,5000,Petrol,Automatic,First Owner
Tata,Tata Safari Storme EX,2017,800000,60000,Diesel,Manual,First Owner
Maruti,Maruti Alto LXi,2011,160000,25000,Petrol,Manual,Second Owner
Renault,Renault KWID RXT,2018,335000,30000,Petrol,Manual,First Owner
Datsun,Datsun GO T BSIV,2017,329000,80000,Petrol,Manual,Second Owner
Maruti,Maruti Vitara Brezza VDi,2017,775000,75000,Diesel,Manual,First Owner
Hyundai,Hyundai Xcent 1.2 VTVT,2020,524000,32000,Petrol,Manual,First Owner
Maruti,Maruti Alto 800 LXI,2015,245000,40000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 1.2 Sportz,2012,275000,93000,Petrol,Manual,Second Owner
Tata,Tata Zest Revotron 1.2,2018,520000,60000,Petrol,Manual,First Owner
Maruti,Maruti Swift 1.3 VXi,2008,130000,120000,Petrol,Manual,Second Owner
Nissan,Nissan Sunny XL,2014,550000,37000,Petrol,Manual,First Owner
Ford,Ford EcoSport 1.5 Petrol,2018,910000,15000,Petrol,Manual,First Owner
Nissan,Nissan Micra Active XV,2015,300000,80000,Petrol,Manual,First Owner
Maruti,Maruti Wagon R LXI,2016,350000,140000,Petrol,Manual,First Owner
Mahindra,Mahindra Ssangyong Rexton RX5,2013,900000,70000,Diesel,Manual,First Owner
Mahindra,Mahindra Quanto C8,2013,300000,120000,Diesel,Manual,Second Owner
Maruti,Maruti Ritz LDi,2010,250000,110000,Diesel,Manual,Second Owner
Hyundai,Hyundai Creta 1.6 CRDi,2017,1100000,37000,Diesel,Manual,First Owner
Renault,Renault KWID RXT,2016,270000,44000,Petrol,Manual,First Owner
Maruti,Maruti Ertiga VDI,2015,640000,80000,Diesel,Manual,First Owner
Mahindra,Mahindra XUV500 W4,2015,650000,125000,Diesel,Manual,First Owner
Maruti,Maruti Eeco 5 Seater,2017,409999,13500,Petrol,Manual,First Owner
Hyundai,Hyundai Santro Xing GLS,2011,165000,75000,Petrol,Manual,First Owner
Hyundai,Hyundai Accent GLE,2007,80000,120000,Petrol,Manual,Second Owner
Mahindra,Mahindra XUV500 W8 2WD,2012,535000,120000,Diesel,Manual,First Owner
Toyota,Toyota Innova 2.5 EV,2013,700000,70000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,2013,550000,70000,Diesel,Manual,First Owner
Honda,Honda Amaze S CVT,2019,680000,15000,Petrol,Automatic,First Owner
Hyundai,Hyundai i10 Sportz 1.2,2009,200000,53000,Petrol,Manual,Second Owner
Maruti,Maruti Swift Dzire VDI,2014,500000,120000,Diesel,Manual,Second Owner
Maruti,Maruti Ertiga SHVS ZDI,2016,1000000,70000,Diesel,Manual,First Owner
Hyundai,Hyundai Getz 1.3 GVS,2008,110000,120000,Petrol,Manual,Second Owner
Hyundai,Hyundai i20 1.2 Magna,2012,320000,100000,Petrol,Manual,Second Owner
Tata,Tata Indica DLS,2005,75000,110000,Diesel,Manual,Second Owner
Maruti,Maruti Swift LXI Optional-O,2015,350000,100000,Petrol,Manual,First Owner
Tata,Tata Indica Vista TDI,2013,170000,162500,Diesel,Manual,First Owner
Hyundai,Hyundai i20 2015-2017 Asta,2017,800000,39000,Diesel,Manual,First Owner
Maruti,Maruti Ignis 1.3 Alpha,2017,500000,75000,Diesel,Manual,First Owner
Tata,Tata Hexa XTA,2017,1380000,50000,Diesel,Automatic,First Owner
Mahindra,Mahindra Marazzo M6 8Str,2019,1300000,40000,Diesel,Manual,First Owner
Hyundai,Hyundai Verna 1.6 CRDI,2013,530000,92500,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,2012,360000,158000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire LDi,2012,310000,120000,Diesel,Manual,First Owner
Honda,Honda City i DTEC,2015,725000,50000,Diesel,Manual,Second Owner
Maruti,Maruti Swift Dzire ZDi,2012,340000,110000,Diesel,Manual,First Owner
Hyundai,Hyundai Xcent 1.2 CRDi,2017,550000,2000,Diesel,Manual,Second Owner
Toyota,Toyota Fortuner 3.0 Diesel,2011,1150000,181000,Diesel,Manual,Second Owner
Tata,Tata Tiago 1.05 Revotorq,2016,380000,70000,Diesel,Manual,First Owner
Nissan,Nissan Sunny XL AT,2013,350000,90000,Petrol,Automatic,Second Owner
Hyundai,Hyundai Elite i20 Magna,2019,610000,2000,Petrol,Manual,First Owner
Maruti,Maruti Swift Dzire VXI,2015,525000,20000,Petrol,Manual,First Owner
Toyota,Toyota Innova 2.5 GX,2011,480000,120000,Diesel,Manual,First Owner
Mahindra,Mahindra Thar CRDe,2017,780000,35000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire ZDi,2012,320000,193000,Diesel,Manual,First Owner
Maruti,Maruti Swift 1.2 DLX,2014,375000,80000,Petrol,Manual,First Owner
Datsun,Datsun GO D Petrol,2019,300000,40000,Petrol,Manual,First Owner
Mahindra,Mahindra Scorpio LX,2011,404000,122358,Diesel,Manual,First Owner
Tata,Tata Sumo Gold EX,2015,500000,75000,Diesel,Manual,First Owner
Tata,Tata Tiago Wizz 1.05,2017,350000,120000,Diesel,Manual,First Owner
Tata,Tata Zest Revotron 1.2,2015,380000,40000,Petrol,Manual,First Owner
Hyundai,Hyundai Accent GLE,2008,114999,95200,Petrol,Manual,Third Owner
Honda,Honda Brio Exclusive Edition,2014,335000,33033,Petrol,Manual,First Owner
Hyundai,Hyundai Grand i10 AT,2015,465000,63063,Petrol,Automatic,First Owner
Tata,Tata Manza Club Class,2012,290000,60000,Diesel,Manual,First Owner
Maruti,Maruti Alto LX,2005,110000,45000,Petrol,Manual,Second Owner
Tata,Tata New Safari DICOR,2011,450000,80000,Diesel,Manual,Third Owner
Mahindra,Mahindra Bolero SLE,2009,400000,170000,Diesel,Manual,Second Owner
Mahindra,Mahindra Bolero DI DX,2007,210000,207890,Diesel,Manual,Second Owner
Mercedes-Benz,Mercedes-Benz GL-Class 220d 4MATIC,2018,4600000,7976,Diesel,Automatic,First Owner
Maruti,Maruti Omni E MPI,2016,220000,35000,Petrol,Manual,First Owner
Hyundai,Hyundai Grand i10 Sportz,2017,450000,35000,Petrol,Manual,First Owner
Hyundai,Hyundai Grand i10 Sportz,2017,450000,35000,Petrol,Manual,First Owner
Hyundai,Hyundai i10 Sportz AT,2013,290000,50000,Petrol,Automatic,First Owner
Maruti,Maruti Swift VXI Deca,2016,520000,20000,Petrol,Manual,First Owner
Hyundai,Hyundai i10 Sportz AT,2011,265000,20000,Petrol,Automatic,First Owner
Maruti,Maruti Swift VXI,2012,330000,50000,Petrol,Manual,Second Owner
Maruti,Maruti Swift VXI,2012,330000,50000,Petrol,Manual,Second Owner
Mahindra,Mahindra Bolero 2011-2019 ZLX,2014,509999,120000,Diesel,Manual,First Owner
Hyundai,Hyundai Verna 1.6 SX,2014,500000,70000,Petrol,Manual,First Owner
Hyundai,Hyundai i20 Active 1.2,2015,525000,50000,Petrol,Manual,First Owner
Maruti,Maruti Baleno Zeta,2019,675000,16500,Petrol,Manual,First Owner
Hyundai,Hyundai i20 1.2 Asta,2010,300000,70000,Petrol,Manual,First Owner
Maruti,Maruti Alto LXI,2005,90000,99361,Petrol,Manual,Second Owner
Maruti,Maruti Swift Dzire VDI,2017,650000,25000,Diesel,Manual,First Owner
Maruti,Maruti Swift Dzire VXI,2014,409000,70000,Petrol,Manual,Second Owner
Hyundai,Hyundai Grand i10 CRDi,2015,395000,80000,Diesel,Manual,Second Owner
Maruti,Maruti Swift 1.3 VXi,2010,215000,70000,Petrol,Manual,Second Owner
Maruti,Maruti Swift Dzire VXI,2014,400000,70000,Petrol,Manual,Second Owner
Chevrolet,Chevrolet Beat LS,2012,120000,60000,Petrol,Manual,Third Owner
Tata,Tata Tigor 1.2 Revotron,2018,645000,10000,Petrol,Automatic,First Owner
Maruti,Maruti 800 Std,2006,81000,80000,Petrol,Manual,First Owner
Honda,Honda City i-DTEC VX,2017,1300000,30000,Diesel,Manual,First Owner
Honda,Honda City i-DTEC VX,2017,1250000,33000,Diesel,Manual,First Owner
Maruti,Maruti Ertiga VXI,2013,535000,90000,Petrol,Manual,Third Owner
Nissan,Nissan Terrano XV Premium,2014,555000,80100,Diesel,Manual,Second Owner
Honda,Honda City i VTEC,2014,725000,120000,Petrol,Manual,First Owner
Mahindra,Mahindra Willys CJ 3B,1983,300000,10000,Diesel,Manual,Third Owner
Renault,Renault KWID RXL,2016,229999,40000,Petrol,Manual,First Owner
Toyota,Toyota Innova 2.5 GX,2013,800000,160000,Diesel,Manual,Second Owner
Maruti,Maruti Wagon R VXI,2017,409999,47000,Petrol,Manual,First Owner
Hyundai,Hyundai Creta 1.4 CRDi,2018,1210000,25000,Diesel,Manual,First Owner
Tata,Tata Tiago 1.2 Revotron,2017,400000,26000,Petrol,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2,2018,520000,29000,Diesel,Manual,First Owner
Maruti,Maruti Baleno Zeta Automatic,2016,650000,50000,Petrol,Automatic,First Owner
Maruti,Maruti Swift ZXI ABS,2011,325000,58000,Petrol,Manual,Third Owner
Maruti,Maruti Swift Dzire VXi,2012,420000,120000,Petrol,Automatic,First Owner
